"manufacturer","model","year","price","odometer","condition","type","size","paint_color","fuel","transmission","cylinders"
"jeep","wrangler unlimited sahara",2010,17500,89000,"good",NA,"mid-size","orange","gas","automatic","6 cylinders"
"ford","f-150",2016,24995,50431,NA,"pickup",NA,NA,"gas","automatic","6 cylinders"
"gmc","acadia",2009,9999,113077,"excellent","SUV","full-size","brown","gas","automatic","6 cylinders"
"chevrolet","equinox premier",2018,26000,21097,NA,NA,NA,NA,"other","automatic",NA
"jeep","patriot latitude",2017,18950,29154,"good","other",NA,"black","gas","other",NA
"ford","fusion energi",2018,0,29643,NA,NA,"full-size","white","hybrid","automatic",NA
"ford","explorer",2013,17998,94871,NA,"other",NA,NA,"gas","automatic",NA
"gmc","acadia sle-2",2014,13995,97881,"like new","SUV",NA,NA,"gas","automatic","6 cylinders"
"buick","enclave",2016,17900,102998,"excellent","SUV","full-size","black","gas","automatic","6 cylinders"
NA,"International AC",2014,0,67000,NA,"van",NA,"white","diesel","automatic",NA
"gmc","z71",2012,15001,203000,"good","truck","full-size","brown","gas","automatic","8 cylinders"
"gmc","envoy sle",2005,5250,115,"excellent",NA,NA,NA,"gas","automatic",NA
"jeep","wrangler sport",2012,18995,99362,NA,"SUV",NA,"red","gas","automatic",NA
"chevrolet","impala ss",1995,12900,126000,"excellent",NA,NA,"black","gas","automatic","8 cylinders"
"toyota","prius hybrid",2010,7500,119000,NA,NA,NA,NA,"hybrid","automatic",NA
"kia","optima",2019,18900,19082,NA,NA,NA,NA,"gas","automatic",NA
"bmw","325i m3",1995,3000,180000,NA,NA,NA,NA,"gas","manual",NA
"fiat","500",2013,5195,96420,NA,"other",NA,"black","gas","manual","4 cylinders"
"chevrolet","express 2500 cargo van",2014,16900,65000,NA,NA,NA,NA,"gas","automatic",NA
"jeep","patriot",2009,5295,115274,NA,"other","mid-size","red","gas","automatic",NA
"ford","fusion",2017,15900,49882,"excellent","sedan",NA,"white","gas","automatic","4 cylinders"
NA,"-",2010,1,0,"excellent",NA,NA,NA,"gas","automatic","6 cylinders"
"nissan","rogue sl awd",2008,9995,126900,NA,NA,NA,NA,"gas","automatic",NA
"ford","f-150",2015,34998,91728,NA,"truck",NA,NA,"gas","automatic","6 cylinders"
"toyota","camry",2013,8795,156002,"excellent","sedan",NA,"grey","gas","automatic",NA
"nissan","sentra sv",2018,209,14689,NA,"sedan",NA,NA,"gas","automatic","4 cylinders"
"ford","explorer xlt",2018,24990,37990,"excellent","SUV","full-size","red","gas","automatic","6 cylinders"
"toyota","rav4 sport 4x4 gas suv",2011,15999,51716,NA,"SUV",NA,"black","gas","automatic",NA
"ram","1500",2009,14400,127300,NA,"pickup",NA,"orange","gas","automatic",NA
"buick","encore",2017,99,28134,NA,NA,"full-size","grey","gas","automatic",NA
"nissan","rogue s sport utility 4d",2013,10990,95048,"good","hatchback",NA,"white","gas","automatic",NA
"honda","crv ex",2010,0,144500,NA,NA,NA,"silver","gas","automatic","4 cylinders"
"ram","2500",2015,28799,134422,NA,"pickup",NA,"white","gas","automatic",NA
"dodge","grand caravan",2018,24500,52758,"like new","mini-van","mid-size","white","gas","automatic","6 cylinders"
"chrysler","300",2014,16990,94871,"excellent","sedan",NA,NA,"gas","automatic",NA
"toyota","4runner trail",2011,25997,155983,NA,"SUV",NA,"red","gas","automatic","6 cylinders"
NA,"GENESIS G80",2017,0,18979,NA,"sedan","full-size","white","gas","automatic",NA
"toyota","camry se sedan 4d",2016,16990,29930,"good","sedan",NA,"red","gas","automatic",NA
"chrysler","town & country",2009,4000,150900,NA,"mini-van",NA,"black","gas","automatic",NA
"chevrolet","impala",2006,4388,124401,"good","sedan","full-size","blue","gas","automatic","6 cylinders"
"kia","amanti",2006,3995,100600,"excellent","sedan","full-size","black","gas","automatic","6 cylinders"
NA,"Hummer H3",2006,14900,86636,"excellent",NA,NA,NA,"gas","automatic","5 cylinders"
"dodge","charger",2015,13950,126000,"excellent",NA,NA,NA,"gas","automatic","8 cylinders"
"chevrolet","s10",1994,2100,71398,NA,NA,NA,"blue","gas","automatic","4 cylinders"
"pontiac","firebird formula",1996,11000,37500,"excellent","convertible","mid-size","green","gas","manual","8 cylinders"
"ram","1500",2015,30950,38939,NA,"truck",NA,NA,"gas","automatic","8 cylinders"
"toyota","sienna",2005,5995,170672,NA,"other",NA,"custom","gas","automatic","6 cylinders"
"chevrolet","impala",2009,3900,159822,"excellent","sedan",NA,"white","gas","automatic","6 cylinders"
"nissan","pathfinder",2006,4995,214369,"excellent","SUV",NA,"black","gas","automatic","6 cylinders"
"toyota","sienna",2011,9995,173000,"excellent","mini-van","full-size","grey","gas","automatic","6 cylinders"
"ford","mustang",2017,1,44178,"excellent","coupe","mid-size","grey","gas","manual","10 cylinders"
"toyota","sequoia",2002,3495,272200,NA,NA,NA,"silver","gas","automatic",NA
"audi","a4",2012,12000,65941,"like new",NA,NA,NA,"gas","automatic","4 cylinders"
"gmc","terrain sle sport utility 4d",2018,20990,9937,"good","other",NA,"black","other","automatic",NA
"nissan","sentra s",2018,12488,43220,"good","sedan",NA,NA,"other","automatic",NA
"buick","road master",1949,11500,60500,"excellent","sedan","full-size","black","gas","automatic","8 cylinders"
NA,"Honnad Accord",1998,1000,217000,"fair","sedan","full-size",NA,"gas","automatic","6 cylinders"
"mercedes-benz","e-class",2015,0,97220,NA,"sedan",NA,NA,"gas","automatic",NA
"ford","f-250",1996,4500,199000,"good",NA,NA,"white","gas","manual",NA
"chevrolet","equinox sport awd",2008,6495,125198,"excellent","SUV","mid-size","black","gas","automatic","6 cylinders"
"jeep","grand cherokee limited 4x4",2000,1500,99000,"fair","SUV",NA,"black","gas","automatic","8 cylinders"
"chevrolet","tahoe",2013,14500,130000,NA,NA,NA,NA,"gas","automatic","8 cylinders"
"chevrolet","silverado 1500",2011,15999,171000,NA,NA,NA,"silver","gas","automatic",NA
"chevrolet","cavalier",2006,2490,177479,"good","coupe","mid-size","blue","gas","manual","4 cylinders"
"chevrolet","equinox",2015,9995,123164,NA,"SUV",NA,"white","other","automatic",NA
"chevrolet","volt",2017,17000,39520,NA,NA,NA,"silver","gas","automatic",NA
"ford","f-350 4x4 reg cab service utility truck",2009,16500,108644,NA,NA,NA,"green","gas","automatic","10 cylinders"
NA,"chysler pt cruiser",2001,700,173414,"fair",NA,NA,NA,"gas","automatic",NA
"hyundai","entourage",2007,4600,99076,"good","mini-van",NA,"white","gas","automatic",NA
"ford","super duty f-350 srw",2017,46995,42455,NA,"truck",NA,"grey","diesel","automatic","8 cylinders"
"chevrolet","traverse",2013,14775,130163,"excellent","SUV",NA,"blue","gas","automatic","6 cylinders"
"honda","pilot",2014,18998,77154,NA,NA,NA,"silver","gas","automatic",NA
"volvo","xc70",2015,13999,141000,"excellent","wagon","full-size","red","gas","automatic","6 cylinders"
"honda","pilot",2017,29240,38142,NA,NA,NA,NA,"gas","automatic",NA
"volkswagen","beetle",2006,5500,66000,"good","other",NA,"red","gas","manual",NA
"jaguar","xj8",2003,5500,49533,"excellent","sedan","full-size","blue","gas","automatic","8 cylinders"
"chevrolet","express cargo van",2012,15788,145996,"good","van","mid-size","white","gas","automatic","8 cylinders"
"dodge","grand caravan",2018,16000,70523,NA,"mini-van",NA,NA,"gas","automatic",NA
"nissan","350z",2004,12400,75000,"excellent","convertible",NA,"grey","gas","automatic",NA
"ford","explorer xlt",2013,12988,131200,NA,"SUV",NA,NA,"gas","automatic","6 cylinders"
"ford","focus",2009,7990,119252,NA,"sedan","compact","silver","gas",NA,NA
"ford","edge",2013,16726,26127,NA,"SUV","mid-size","brown","gas","automatic","6 cylinders"
"acura","mdx",2014,18984,122014,NA,"SUV",NA,NA,"gas","automatic","6 cylinders"
"jeep","liberty sport",2012,5995,187200,"good","SUV","full-size","white","gas","automatic","6 cylinders"
"toyota","tundra crewmax",2012,19999,217252,NA,"pickup",NA,"black","other","automatic","8 cylinders"
"ford","f-550",2014,28990,171206,"good","truck","full-size","white","diesel","automatic","8 cylinders"
"toyota","camry",2012,10900,124732,"excellent","truck","full-size","silver","gas","automatic","4 cylinders"
"chevrolet","tahoe",2015,27500,115856,NA,"SUV",NA,"silver","gas","automatic",NA
"mini","cooper countryman",2014,7503,137966,"like new",NA,"compact","white","gas","automatic",NA
"toyota","venza le",2013,16373,88520,"good","other",NA,"silver","gas","other","6 cylinders"
"nissan","maxima",2013,10995,93203,NA,"sedan",NA,"blue","gas","automatic",NA
"honda","civic si",2012,7000,161067,"fair","coupe",NA,"black","gas","manual","4 cylinders"
"toyota","yaris",2008,3950,163984,"excellent","hatchback",NA,"blue","gas","manual",NA
"chevrolet","camaro lt convertible",2015,22990,25493,"good","convertible",NA,"black","gas","automatic","6 cylinders"
"dodge","grand caravan",2019,19624,43374,NA,"mini-van",NA,NA,"gas","automatic",NA
"mercedes-benz","gl",2008,12950,128667,NA,"other",NA,"black","gas","automatic",NA
"honda","civic lx sedan 4d",2015,15990,22545,"good","sedan",NA,"white","gas","automatic",NA
"honda","cr-v ex",2009,6950,188000,"excellent","SUV",NA,"white","gas","automatic","4 cylinders"
NA,"volkswagon jetta",2011,4800,154000,NA,"sedan",NA,"blue","gas","automatic",NA
"volkswagen","jetta",2008,3600,150000,"excellent","sedan","full-size","grey","gas","automatic","5 cylinders"
"mercedes-benz","gl-class",2011,13990,136963,"good","wagon",NA,"white","diesel","automatic","6 cylinders"
"pontiac","g6",2006,3995,141302,"good","sedan",NA,"silver","gas","automatic","4 cylinders"
"ford","focus",2010,2400,182000,"fair",NA,NA,NA,"gas","automatic","4 cylinders"
"honda","odyssey ex-l",2016,15490,75000,"excellent","mini-van","full-size","custom","gas","automatic","6 cylinders"
"ford","transit passenger",2018,22950,51636,"excellent","van","full-size","white","gas","automatic","6 cylinders"
"honda","accord",1991,1800,179000,"good","coupe","compact","black","gas","automatic","4 cylinders"
"honda","cr-v",2015,16931,89514,NA,"SUV","mid-size","red","gas","automatic","4 cylinders"
"audi","a3 2.0 tdi premium plus",2013,15990,29123,"good","wagon",NA,"black","other","automatic",NA
"chevrolet","silverado 1500",2020,0,2751,"excellent","truck","mid-size","white","gas","automatic","8 cylinders"
"toyota","corolla s",2016,13990,79976,"excellent","sedan","compact","red","gas","manual","4 cylinders"
"lexus","rx 350",2008,0,91003,"excellent","SUV",NA,NA,"gas","automatic","6 cylinders"
"hyundai","santa fe",2013,10995,151350,"like new","SUV",NA,NA,"gas","automatic","6 cylinders"
"dodge","grand caravan sport",2003,4999,182958,"excellent","van",NA,NA,"gas","automatic","6 cylinders"
"jeep","wrangler unlimited sahara 4x4 v6",2017,38995,44106,NA,"SUV",NA,"white","gas","automatic","6 cylinders"
"hyundai","sonata lmtd hyb",2016,15488,81071,NA,"other",NA,"red","hybrid","automatic",NA
"ford","f150 super cab xl pickup 4d",2018,31990,525,"good","pickup",NA,"red","gas","automatic","6 cylinders"
"chevrolet","equinox",2012,8995,126835,"excellent","SUV",NA,"blue","gas","automatic","4 cylinders"
"chevrolet","silverado 1500",2007,9950,128650,NA,"pickup","full-size","grey","gas","automatic","8 cylinders"
"cadillac","cts-v coupe premium",2014,42989,46702,"good","coupe","mid-size","black","gas","automatic","8 cylinders"
"lincoln","mkz",2011,5500,125000,"excellent","sedan","mid-size","black","gas","automatic","6 cylinders"
"jeep","patriot",2013,9991,67872,NA,"SUV","compact","grey","gas","automatic","4 cylinders"
"chrysler","200",2012,5795,147376,NA,"sedan","mid-size","custom","gas","automatic","4 cylinders"
"mazda","mazda3 premium sedan 4d",2019,352,10291,"good","sedan",NA,NA,"gas","other",NA
"mercedes-benz","cla",2020,32995,2077,NA,NA,NA,NA,"gas","automatic",NA
"toyota","sienna xle awd",2012,11500,181000,"excellent",NA,NA,"grey","gas","automatic","6 cylinders"
"rover",NA,2016,57995,37559,"good","SUV","full-size","silver","gas","automatic","8 cylinders"
"gmc","yukon 4x4",2004,6250,156000,"excellent","SUV","full-size","white","gas","automatic","8 cylinders"
"dodge","durango",2005,3450,177000,"good","SUV",NA,NA,"gas","automatic","8 cylinders"
"gmc","yukon xl denali 4x4 gas suv",2019,66999,10317,NA,"SUV",NA,"black","gas","automatic",NA
"ford","focus",2016,9499,73648,"excellent","sedan","compact","black","gas","automatic","4 cylinders"
"toyota","prius",2010,6457,150224,NA,NA,NA,NA,"hybrid","automatic",NA
NA,"INTERNATIONAL MH035",2009,44995,82238,NA,"truck",NA,NA,"diesel","manual",NA
"gmc","acadia",2017,27995,33755,NA,NA,NA,NA,"gas","automatic",NA
"volkswagen","jetta",2016,8995,157771,NA,"sedan","compact","white","gas","automatic",NA
"dodge","charger",2016,16899,104679,"like new","sedan","full-size","grey","gas","automatic","6 cylinders"
"toyota","camry",2020,22999,8190,NA,"sedan",NA,"silver","gas","automatic",NA
"ford","f-150 lariat",2001,6000,153600,"excellent",NA,NA,"blue","gas","automatic","8 cylinders"
"honda","accord lx",2014,11200,83975,"good","sedan","mid-size","grey","gas","manual","4 cylinders"
"chevrolet","cobalt",2009,5950,133000,NA,"sedan",NA,NA,"gas","automatic",NA
"chevrolet","corvette",2002,17895,70219,"excellent","convertible",NA,NA,"gas","automatic","8 cylinders"
"lexus","is 250",2010,9999,86000,"like new","coupe","compact","black","gas","automatic","6 cylinders"
"fiat","500l",2014,5500,94275,NA,"mini-van",NA,"red","gas","manual",NA
"cadillac","srx",2013,17990,57662,NA,"SUV",NA,"red","gas","automatic",NA
"ram",NA,2010,17750,49720,NA,"pickup",NA,NA,"other","automatic",NA
"mercedes-benz","benz sl500",2004,10999,129898,"like new","convertible",NA,"silver","gas","automatic","8 cylinders"
"hyundai","accent",2019,14900,10641,"good","sedan",NA,"blue","gas","automatic","4 cylinders"
"ford","edge",2013,17997,50314,"excellent","SUV",NA,NA,"gas","automatic",NA
"toyota","tacoma sr",2020,29457,14274,"good","pickup",NA,"silver","gas","automatic",NA
"mazda","mazda6",2013,4495,130218,NA,"sedan",NA,"grey","gas","automatic","4 cylinders"
"audi","a3 2.0t s-line",2007,4000,121485,"good","hatchback",NA,"grey","gas","manual","4 cylinders"
"honda","civic",2012,11999,69865,NA,"sedan",NA,"white","gas","automatic",NA
"hyundai","elantra",2013,7699,82320,"excellent",NA,NA,NA,"gas","automatic","4 cylinders"
"volkswagen","passat s",2013,7500,61000,"like new","sedan","mid-size","red","gas","automatic","5 cylinders"
"ford","f150 truck",2000,3000,215000,NA,NA,NA,NA,"gas","automatic",NA
"dodge","grand caravan",2014,7990,133737,NA,"van",NA,"white","gas","automatic","6 cylinders"
NA,"LICOLN MKZ",2014,15799,44200,"excellent","sedan","full-size","black","gas","automatic","4 cylinders"
"toyota","prius",2012,4995,156533,"good","sedan","mid-size",NA,"hybrid","automatic","4 cylinders"
"ford","expedition",2009,12800,124468,NA,"SUV",NA,"white","other","automatic","8 cylinders"
"chevrolet","equinox",2017,10995,96898,NA,NA,NA,"blue","gas","automatic",NA
"nissan","altima 2.5 sv",2014,10589,133662,"good","hatchback",NA,NA,"other","automatic",NA
"honda","civic sport",2019,24000,1457,"like new","other","mid-size","black","gas","automatic","4 cylinders"
"honda","civic",2007,5800,149000,"excellent",NA,NA,NA,"gas","automatic","4 cylinders"
"chevrolet","silverado 1500",2017,31995,30875,NA,NA,NA,NA,"gas","automatic",NA
"kia","rio",2009,3400,106000,"excellent","sedan","compact","silver","gas","automatic","4 cylinders"
"gmc","yukon slt",1998,1300,180000,"fair",NA,NA,"white","gas","automatic",NA
"ford","f-250 super duty",2001,13000,231967,"good","truck","full-size","red","diesel","automatic","8 cylinders"
"chevrolet","trailblazer ls",2007,4499,156958,"excellent","SUV","mid-size","grey","gas","automatic","6 cylinders"
"subaru","legacy",2005,6995,179450,NA,"wagon",NA,"silver","gas","automatic",NA
"chevrolet","silverado 2500hd",2005,13500,168000,"good","truck",NA,"white","diesel","automatic","8 cylinders"
"mercedes-benz","c-class",2001,6595,70937,"excellent","sedan",NA,"silver","gas","automatic",NA
"chevrolet","k-1500 blazer 4x4 2d",1994,12950,246104,"like new","SUV","full-size","black","gas","automatic","8 cylinders"
NA,"caddilac srx",2012,10900,144500,NA,NA,NA,NA,"gas","automatic",NA
"ram","pickup 2500 slt",2004,5995,211400,"fair","truck",NA,"black","gas","automatic","8 cylinders"
"toyota","corolla",2017,9500,45000,"like new",NA,NA,NA,"gas","automatic","4 cylinders"
"dodge","grand caravan",2007,2900,176000,"excellent","mini-van","compact","brown","gas","automatic","6 cylinders"
"honda","odyssey ex-l",2005,2900,235000,"good",NA,NA,NA,"gas","automatic","6 cylinders"
"ford","explorer",2015,8995,131172,NA,"SUV","full-size","white","gas","automatic","6 cylinders"
"gmc","yukon",2008,10990,188000,NA,NA,NA,NA,"gas","automatic",NA
"toyota","4-runner",2007,11490,169565,NA,"wagon",NA,NA,"gas","automatic",NA
"chevrolet","tahoe z71 4x4",2006,4900,247000,"good","SUV","full-size","black","gas","automatic","8 cylinders"
"cadillac","allante pininfarina",1988,9000,62000,"excellent","convertible","full-size","black","gas","automatic","8 cylinders"
"kia","optima lx",2020,17995,6933,"like new","sedan","mid-size","custom","gas","automatic","4 cylinders"
"ford","taurus",2019,19977,32222,NA,"sedan",NA,"black","gas","other","6 cylinders"
"bmw","135i",2008,9499,103263,NA,"convertible","sub-compact","black","gas","automatic",NA
"toyota","camry",2018,21998,41635,NA,"sedan","mid-size","red","gas","automatic","4 cylinders"
"chevrolet","cruze lt",2014,6499,117302,NA,NA,NA,NA,"gas","automatic",NA
"ford","mustang svt cobra",2003,25480,36498,NA,"convertible",NA,"grey","gas","manual","8 cylinders"
"subaru","outback",2008,4500,131000,"good","wagon",NA,"grey","gas","manual","4 cylinders"
"toyota","camry",2002,3000,199000,NA,NA,NA,NA,"gas","automatic",NA
"ford","fusion",2016,14900,82054,"good","sedan",NA,NA,"gas","automatic","4 cylinders"
"chevrolet","malibu",2009,0,134482,"excellent","sedan","mid-size","silver","gas","automatic","6 cylinders"
"chrysler","300",2007,5995,126780,NA,"sedan","full-size","white","gas","automatic",NA
"ford","fusion",2017,0,49682,"excellent","sedan",NA,NA,"gas","automatic",NA
"toyota","sienna",2007,5495,181930,"like new","van","full-size","red","gas","automatic","6 cylinders"
"hyundai","tucson limited",2017,20695,30497,NA,"SUV",NA,"silver","gas","automatic","4 cylinders"
"mercedes-benz","c-class",2018,28985,21637,"excellent","sedan",NA,"black","gas","automatic",NA
"dodge","charger srt 392 rwd gas",2017,49999,6076,NA,"sedan",NA,"grey","gas","automatic",NA
"chevrolet","malibu",2018,19795,8406,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","tahoe hybrid",2009,8000,120000,"excellent",NA,NA,NA,"hybrid","automatic","8 cylinders"
"ford","f-350",2010,24995,118521,NA,"pickup",NA,"black","diesel","automatic",NA
"ford","f-150 xlt automatic",2013,19995,103971,NA,"pickup",NA,"red","gas","automatic",NA
"honda","accord se",2007,8250,77000,"excellent","sedan",NA,"black","gas","automatic","6 cylinders"
"chevrolet","equinox lt",2009,6595,170308,"excellent","SUV","full-size","black","gas","automatic","6 cylinders"
"chevrolet","hhr lt 2.4",2010,5775,146000,"excellent",NA,NA,"blue","gas","automatic","4 cylinders"
"mazda","cx-5",2015,14152,72273,NA,NA,NA,NA,"gas","automatic",NA
NA,"Porsche Cayman S",2006,22997,92088,NA,"coupe",NA,"blue","gas","manual","6 cylinders"
"chevrolet","cobalt",2008,2495,177000,"good","sedan",NA,"grey","gas","automatic","4 cylinders"
"cadillac","srx",2013,8995,87507,"good","wagon",NA,"black","gas","automatic","6 cylinders"
"jeep","wrangler",2007,13495,184961,"excellent","SUV",NA,"green","gas","automatic",NA
"jeep","grand cherokee",2011,12995,98194,"excellent","SUV",NA,"silver","gas","automatic",NA
"chevrolet","silverado 2500hd",2007,14995,199243,NA,"pickup",NA,"red","diesel","automatic",NA
"ford","f- xlt wd supercrew .' box",2019,0,33445,NA,NA,NA,NA,"other","automatic","other"
"toyota","camry",2012,8000,144000,"good","sedan","mid-size","black","gas","automatic",NA
"nissan","versa",2018,6799,41000,"like new",NA,NA,"grey","gas","automatic","4 cylinders"
"dodge","challenger gt coupe 2d",2019,29590,16896,"good","coupe",NA,"red","gas","other","6 cylinders"
"honda","civic",2017,0,42633,NA,"sedan",NA,NA,"gas","automatic",NA
"chevrolet","malibu",2020,19999,3237,NA,NA,NA,NA,"gas","automatic",NA
"jeep","wrangler",2012,0,93691,"good","other",NA,"black","other","other","6 cylinders"
"ford","f-150 lariat 4wd supercrew 5.5' box",2017,44999,31259,NA,"pickup",NA,"black",NA,"automatic","6 cylinders"
"ford","f-150",2013,27995,113779,NA,"truck",NA,"blue","gas","automatic","6 cylinders"
"lincoln","mkx",2014,9995,157910,NA,NA,NA,NA,"gas","automatic",NA
"lexus","sc 430",2002,14000,62500,"excellent","convertible","compact","silver","gas","automatic","8 cylinders"
"chevrolet","tahoe lt 4x4",2007,7995,238100,NA,"SUV","full-size","red","gas","automatic","8 cylinders"
"ford","f-150 xlt 4wd supercrew 5.",2018,0,32112,NA,NA,NA,NA,"gas","automatic","8 cylinders"
"toyota","rav4",2011,0,113600,"good","SUV","mid-size","silver","gas","automatic","4 cylinders"
"honda","odyssey touring",2008,7995,135250,NA,"van",NA,"white","gas","automatic","6 cylinders"
"jeep","wrangler unlimited sahara 4d sport utility automatic",2020,44977,7770,NA,"SUV",NA,"blue","gas","automatic",NA
"chevrolet","camaro ss",2019,37999,27048,"excellent","coupe","mid-size","black","gas","other",NA
"infiniti","q50",2017,364,63539,"good","sedan",NA,"black","gas","automatic",NA
"mercedes-benz","glc-class",2017,32995,12888,NA,"SUV",NA,"black","gas","automatic",NA
"dodge","durango limited awd gas",2014,26999,50920,NA,"SUV",NA,"white","gas","automatic",NA
"dodge","sprinter",2005,11995,189998,NA,"van",NA,"white","diesel","automatic",NA
"ford","taurus",2005,1995,0,NA,NA,NA,NA,"gas","automatic",NA
"chrysler","town & country",2001,2450,160000,NA,NA,NA,"red","gas","automatic","6 cylinders"
"ford","thunderbird",2003,0,90310,"excellent","convertible",NA,"grey","gas","automatic",NA
"kia","sportage",2017,17995,38457,NA,NA,NA,"blue","gas","automatic","4 cylinders"
"chevrolet","trax",2017,15991,29071,NA,"SUV",NA,"silver","gas","automatic",NA
"ram","2500 4x4",2012,21250,126362,"good","pickup",NA,"white","gas","automatic","8 cylinders"
"ford","f150 xl",2013,9950,80800,"excellent","truck","full-size","white","gas","automatic","6 cylinders"
"hyundai","entourage",2007,4777,110121,"excellent","mini-van","full-size","white","gas","automatic","6 cylinders"
"dodge","charger",2017,0,37198,NA,"sedan","full-size",NA,"gas","automatic",NA
"ram","1500 crew cab",2013,14975,127220,NA,"pickup",NA,"white","gas","automatic","8 cylinders"
"nissan","altima 2.5 s",2013,7995,122032,"like new","coupe","full-size","white","gas","automatic","4 cylinders"
"chevrolet","silverado 2500 ltz 6.6 duramax diesel lifted 37s ( on sale )",2019,62995,40177,NA,"pickup",NA,"grey","diesel","automatic","8 cylinders"
"chevrolet","impala ltz",2015,22000,46235,"excellent","sedan","full-size","black","gas","automatic","6 cylinders"
"ford","ranger",1999,3900,220000,"excellent","pickup","mid-size","grey","gas","manual","6 cylinders"
"audi","q7",2013,18950,61820,"good","SUV",NA,"grey","gas","automatic",NA
"hyundai","veloster",2017,14952,36005,NA,"coupe","compact","white","gas","automatic","4 cylinders"
"ford","super duty f-350 drw",2005,19995,167828,"excellent","truck",NA,NA,"diesel","other","8 cylinders"
"ford","f150 super cab",2009,0,141734,NA,"pickup",NA,NA,"gas","automatic",NA
"chevrolet","express passenger",2016,19995,20960,"excellent",NA,NA,"white","gas","automatic",NA
"saturn","ion level-2",2006,3499,147516,"excellent","sedan","mid-size","silver","gas","manual","4 cylinders"
"chevrolet","silverado 2500hd",2014,29499,144474,NA,NA,NA,NA,"diesel","automatic","8 cylinders"
"cadillac","escalade platinum",2013,23995,139925,"excellent","SUV",NA,"black","gas","automatic","8 cylinders"
"pontiac","grand prix",2007,3000,163604,"good","sedan","mid-size","red","gas","automatic","6 cylinders"
"ford","f-150 xlt",2016,0,70811,NA,NA,NA,NA,"gas","automatic","6 cylinders"
"subaru","impreza",2008,4999,132646,"excellent",NA,NA,NA,"gas","automatic",NA
"ram",NA,2009,19995,181020,"like new","pickup","full-size","blue","diesel","automatic","6 cylinders"
"dodge","ramcharger",1975,4500,145000,"good","truck","full-size","custom","gas","automatic","8 cylinders"
"volkswagen","golf tdi",2013,10999,60000,NA,NA,NA,NA,"diesel","automatic",NA
"cadillac","srx",2006,5500,120000,"good","mini-van","full-size","red","gas","automatic","6 cylinders"
"buick","enclave",2014,13500,130642,"excellent","SUV","mid-size","silver","gas","automatic","6 cylinders"
"infiniti","q50",2016,0,49253,NA,"sedan","mid-size","white","gas","automatic","6 cylinders"
"dodge","challenger r/t",2014,25000,37000,"good",NA,NA,"white","diesel","automatic",NA
"ford","taurus",2003,1950,178000,"good","sedan","mid-size","white","gas","automatic",NA
"cadillac","escalade base",2008,15998,134493,NA,"SUV",NA,NA,"gas","automatic","8 cylinders"
"nissan","altima 2.5 s",2016,10950,54599,"excellent","sedan","full-size","grey","gas","automatic","4 cylinders"
"chevrolet","tahoe",2017,38991,37815,NA,"SUV","mid-size","white","gas","automatic","8 cylinders"
NA,"Biz On Wheels",2019,0,0,"excellent",NA,NA,NA,"gas","automatic",NA
"ford","flex sel awd",2014,13999,100814,"good","SUV","full-size","white","gas","automatic","6 cylinders"
"volkswagen","beetle",2018,16931,10810,NA,"hatchback","compact","custom","gas","automatic","4 cylinders"
"chrysler","300",2018,0,89742,NA,"sedan","full-size","white","gas","automatic","6 cylinders"
"chevrolet","camaro",1969,79988,491,NA,"other",NA,"white","gas","manual","8 cylinders"
"lexus","sc 430",2006,7700,146400,"excellent","convertible",NA,"white","gas","automatic","8 cylinders"
"nissan","juke",2013,10995,60321,"like new","wagon","full-size","white","gas","automatic","4 cylinders"
"bmw","535i",2012,13999,88116,NA,"sedan",NA,"grey","gas","automatic",NA
"honda","pilot",2018,28987,11531,"excellent","SUV",NA,NA,"gas","automatic",NA
"chevrolet","camaro",2012,13000,82200,"excellent","coupe","full-size","silver","gas","automatic","6 cylinders"
"jeep","grand cherokee",2019,33971,31121,NA,"SUV",NA,NA,"gas","automatic",NA
"lexus","es",2014,0,153208,NA,"sedan","full-size",NA,"hybrid","automatic",NA
"ferrari","488 gtb",2016,204500,6070,"excellent","coupe",NA,NA,"gas","automatic",NA
"chevrolet","silverado 1500 long box",2012,7995,167965,NA,"pickup",NA,"white","gas","automatic",NA
"ford","escape",2016,12299,52470,NA,"SUV",NA,NA,"gas","automatic","4 cylinders"
"mercury","cougar",1989,1000,163138,"fair","sedan",NA,"black","gas","manual","6 cylinders"
"kia","forte ex",2014,5990,102345,"excellent","sedan","compact","white","gas","automatic","4 cylinders"
"ford","fiesta titanium",2013,6992,77330,"excellent",NA,"compact","silver","gas","automatic","4 cylinders"
"chevrolet","blazer",2000,1490,223023,"good","SUV",NA,NA,"gas","automatic","6 cylinders"
"subaru","impreza",2019,21995,24770,NA,"sedan",NA,NA,"gas","automatic","4 cylinders"
"kia","sorento lx",2018,268,74527,"good","other",NA,NA,"other","automatic",NA
"ram","2500",2002,14499,202024,"good","truck","full-size","black","diesel","automatic","6 cylinders"
"honda","fit",2008,5999,124149,NA,"hatchback",NA,NA,"gas","automatic","4 cylinders"
"dodge","grand caravan",2019,22194,24237,NA,"van",NA,NA,"gas","other","6 cylinders"
"volkswagen","r32",2004,14995,225000,NA,"other","sub-compact",NA,"gas","manual",NA
"acura","tl",2003,2995,219024,"excellent","sedan",NA,"black","gas","automatic","6 cylinders"
"ram","1500",2018,44500,40685,NA,"truck",NA,"white","gas","other","8 cylinders"
